date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
2021-01-01,California,State,Lambda,0.0,0.0,,
2021-01-01,California,State,Total,59.0,100.0,,
2021-01-01,California,State,Beta,0.0,0.0,,
2021-01-01,California,State,Delta,0.0,0.0,,
2021-01-01,California,State,Other,29.0,49.15,,
2021-01-01,California,State,Mu,0.0,0.0,,
2021-01-01,California,State,Epsilon,28.0,47.46,,
2021-01-01,California,State,Alpha,1.0,1.69,,
2021-01-01,California,State,Omicron,1.0,1.69,,
2021-01-01,California,State,Gamma,0.0,0.0,,
2021-01-02,California,State,Lambda,0.0,0.0,,
2021-01-02,California,State,Omicron,1.0,0.93,,
2021-01-02,California,State,Epsilon,47.0,43.52,,
2021-01-02,California,State,Delta,1.0,0.93,,
2021-01-02,California,State,Beta,0.0,0.0,,
2021-01-02,California,State,Gamma,0.0,0.0,,
2021-01-02,California,State,Alpha,6.0,5.56,,
2021-01-02,California,State,Mu,0.0,0.0,,
2021-01-02,California,State,Other,53.0,49.07,,
2021-01-02,California,State,Total,108.0,100.0,,
2021-01-03,California,State,Beta,0.0,0.0,,
2021-01-03,California,State,Gamma,1.0,0.37,,
2021-01-03,California,State,Omicron,2.0,0.75,,
2021-01-03,California,State,Other,140.0,52.43,,
2021-01-03,California,State,Total,267.0,100.0,,
2021-01-03,California,State,Delta,2.0,0.75,,
2021-01-03,California,State,Epsilon,117.0,43.82,,
2021-01-03,California,State,Lambda,0.0,0.0,,
2021-01-03,California,State,Alpha,5.0,1.87,,
2021-01-03,California,State,Mu,0.0,0.0,,
2021-01-04,California,State,Mu,0.0,0.0,,
2021-01-04,California,State,Epsilon,692.0,54.92,,
2021-01-04,California,State,Other,558.0,44.29,,
2021-01-04,California,State,Beta,0.0,0.0,,
2021-01-04,California,State,Total,1260.0,100.0,,
2021-01-04,California,State,Delta,5.0,0.4,,
2021-01-04,California,State,Lambda,0.0,0.0,,
2021-01-04,California,State,Gamma,0.0,0.0,,
2021-01-04,California,State,Omicron,0.0,0.0,,
2021-01-04,California,State,Alpha,5.0,0.4,,
2021-01-05,California,State,Epsilon,440.0,54.19,,
2021-01-05,California,State,Other,356.0,43.84,,
2021-01-05,California,State,Gamma,0.0,0.0,,
2021-01-05,California,State,Lambda,0.0,0.0,,
2021-01-05,California,State,Omicron,0.0,0.0,,
2021-01-05,California,State,Mu,0.0,0.0,,
2021-01-05,California,State,Beta,0.0,0.0,,
2021-01-05,California,State,Delta,0.0,0.0,,
2021-01-05,California,State,Alpha,16.0,1.97,,
2021-01-05,California,State,Total,812.0,100.0,,
2021-01-06,California,State,Epsilon,207.0,55.95,,
2021-01-06,California,State,Gamma,0.0,0.0,,
2021-01-06,California,State,Beta,0.0,0.0,,
2021-01-06,California,State,Other,155.0,41.89,,
2021-01-06,California,State,Alpha,3.0,0.81,,
2021-01-06,California,State,Total,370.0,100.0,,
2021-01-06,California,State,Lambda,0.0,0.0,,
2021-01-06,California,State,Delta,3.0,0.81,,
2021-01-06,California,State,Omicron,2.0,0.54,,
